"title","year","awards","best_picture","data_status"
"12 years a slave",2013,3,TRUE,"Standard Winner"
"gravity",2013,7,NA,"Major Winner"
"dallas buyers club",2013,3,NA,"Standard Winner"
"frozen",2013,2,NA,"Standard Winner"
"the great gatsby",2013,2,NA,"Standard Winner"
"her",2013,1,NA,"Standard Winner"
"blue jasmine",2013,1,NA,"Standard Winner"
"mr hublot",2013,1,NA,"Standard Winner"
"the lady in number 6: music saved my life",2013,1,NA,"Standard Winner"
"helium",2013,1,NA,"Standard Winner"
"the great beauty",2013,1,NA,"Standard Winner"
"20 feet from stardom",2013,1,NA,"Standard Winner"
"birdman",2014,4,TRUE,"Standard Winner"
"the grand budapest hotel",2014,4,NA,"Standard Winner"
"whiplash",2014,3,NA,"Standard Winner"
"the imitation game",2014,1,NA,"Standard Winner"
"american sniper",2014,1,NA,"Standard Winner"
"boyhood",2014,1,NA,"Standard Winner"
"interstellar",2014,1,NA,"Standard Winner"
"the theory of everything",2014,1,NA,"Standard Winner"
"ida",2014,1,NA,"Standard Winner"
"selma",2014,1,NA,"Standard Winner"
"citizenfour",2014,1,NA,"Standard Winner"
"big hero 6",2014,1,NA,"Standard Winner"
"crisis hotline: veterans press 1",2014,1,NA,"Standard Winner"
"the phone call",2014,1,NA,"Standard Winner"
"still alice",2014,1,NA,"Standard Winner"
"feast",2014,1,NA,"Standard Winner"
"spotlight",2015,2,TRUE,"Standard Winner"
"mad max: fury road",2015,6,NA,"Major Winner"
"the revenant",2015,3,NA,"Standard Winner"
"bridge of spies",2015,1,NA,"Standard Winner"
"the big short",2015,1,NA,"Standard Winner"
"the danish girl",2015,1,NA,"Standard Winner"
"room",2015,1,NA,"Standard Winner"
"ex machina",2015,1,NA,"Standard Winner"
"the hateful eight",2015,1,NA,"Standard Winner"
"inside out",2015,1,NA,"Standard Winner"
"amy",2015,1,NA,"Standard Winner"
"bear story",2015,1,NA,"Standard Winner"
"a girl in the river: the price of forgiveness",2015,1,NA,"Standard Winner"
"son of saul",2015,1,NA,"Standard Winner"
"spectre",2015,1,NA,"Standard Winner"
"stutterer",2015,1,NA,"Standard Winner"
