order_date,ship_date,platform,category,product_name,quantity,campaign,voucher_code,discount_pct,discount_value,shipping_cost,net_sales,payment_method,customer_segment,region,stock_status,order_status,customer_rating,priority_flag,is_high_value,order_priority,valid_transaction
2024-04-19,2024/04/24,TOKOPEDIA,HOME LIVING,TABLE LAMP,4,FLASH SALE,DISC10,10.0,75562,12000,680058,E-WALLET,VIP,BEKASI,PREORDER,COMPLETED,5,Y,NO,MEDIUM,VALID
2024/01/24,29/01/2024,TIKTOK SHOP,ELECTRONICS,POWER BANK,1,NORMAL DAY,NONE,0.0,0,18000,1476873,COD,RETURNING,MAKASSAR,IN STOCK,COMPLETED,5,N,YES,HIGH,VALID
2024-06-12,06-19-2024,TOKOPEDIA,FASHION,WOMEN DRESS,2,MEGA CAMPAIGN,DISC20,20.0,92429,15000,369715,VIRTUAL ACCOUNT,RETURNING,SURABAYA,IN STOCK,COMPLETED,3,YES,NO,LOW,VALID
2024/08/07,08-14-2024,TOKOPEDIA,HOME LIVING,VACUUM CLEANER,3,FLASH SALE,DISC10,10.0,153619,0,1382570,TRANSFER BANK,NEW,YOGYAKARTA,IN STOCK,COMPLETED,4,NO,YES,HIGH,VALID
2024-12-08,2024/03/31,TOKOPEDIA,BEAUTY,BODY LOTION,2,PAYDAY SALE,DISC15,15.0,RP 66.476,0,376696,COD,RETURNING,SURABAYA,IN STOCK,COMPLETED,5,NORMAL,NO,LOW,VALID
2024/04/06,2024/03/31,BLIBLI,BEAUTY,LIP TINT,8,NORMAL DAY,NONE,0.0,0,12000,0,CREDIT CARD,VIP,MAKASSAR,LOW STOCK,CANCELLED,5,YES,NO,LOW,INVALID
03-15-2024,2024/03/31,BLIBLI,FASHION,SNEAKERS,8,MEGA CAMPAIGN,DISC20,20.0,164550,25000,0,E-WALLET,RETURNING,BEKASI,IN STOCK,CANCEL,5,YES,NO,LOW,VALID
11-14-2024,2024-11-16,BLIBLI,SPORTS,DUMBBELL 5KG,2,PAYDAY SALE,DISC15,15.0,213269,18000,1208527,VIRTUAL ACCOUNT,VIP,BANDUNG,IN STOCK,COMPLETED,5,PRIORITY,YES,HIGH,VALID
2024/06/15,17/06/2024,LAZADA,SPORTS,CYCLING GLOVES,4,PAYDAY SALE,DISC15,15.0,315767,20000,1789349,E-WALLET,RETURNING,BANDUNG,IN STOCK,COMPLETED,3,NORMAL,YES,HIGH,VALID
22/03/2024,01/04/2024,TIKTOK SHOP,FASHION,MEN T-SHIRT,3,MEGA CAMPAIGN,DISC20,20.0,63335,25000,253339,TRANSFER BANK,VIP,SEMARANG,IN STOCK,COMPLETED,5,Y,NO,LOW,VALID
2024-09-15,09-21-2024,SHOPEE,HOME LIVING,VACUUM CLEANER,3,FLASH SALE,DISC10,10.0,85734,9000,771603,TRANSFER BANK,NEW,MEDAN,IN STOCK,COMPLETED,3,NORMAL,NO,MEDIUM,VALID
04-05-2024,2024-04-06,SHOPEE,SPORTS,DUMBBELL 5KG,2,FLASH SALE,DISC10,10.0,27975,0,251775,E-WALLET,VIP,MAKASSAR,IN STOCK,COMPLETED,5,PRIORITY,NO,LOW,VALID
01-17-2024,2024/01/24,LAZADA,BEAUTY,SKINCARE SERUM,6,MEGA CAMPAIGN,DISC20,20.0,184549,20000,738197,CREDIT CARD,RETURNING,BANDUNG,LOW STOCK,COMPLETED,4,Y,NO,MEDIUM,VALID
2024-03-01,05/03/2024,SHOPEE,HOME_LIVING,STORAGE BOX,2,NORMAL DAY,NONE,0.0,0,12000,678686,TRANSFER BANK,RETURNING,SEMARANG,LOW STOCK,COMPLETED,5,N,NO,MEDIUM,VALID
2024-07-02,07-08-2024,TIKTOK SHOP,SPORTS,RUNNING SHOES,1,NORMAL DAY,NONE,0.0,0,9000,533649,COD,NEW,BANDUNG,IN STOCK,COMPLETED,5,NO,NO,MEDIUM,VALID
07-09-2024,07-14-2024,BLIBLI,BEAUTY,BODY LOTION,3,FLASH SALE,DISC10,10.0,85438,12000,768947,VIRTUAL ACCOUNT,RETURNING,SEMARANG,IN STOCK,ON DELIVERY,5,NORMAL,NO,MEDIUM,VALID
28/11/2024,2024/12/04,TOKOPEDIA,HOME LIVING,BLENDER,1,FLASH SALE,DISC10,10.0,117708,15000,1059371,VIRTUAL ACCOUNT,RETURNING,SEMARANG,IN STOCK,COMPLETED,5,NO,YES,HIGH,VALID
