"title","year","awards","nominations","best_picture","year_scraped","data_status"
"The King's Speech",2010,4,12,"Yes",2010,"Complete"
"Inception",2010,4,8,"No",2010,"Complete"
"The Social Network",2010,3,8,"No",2010,"Complete"
"The Fighter",2010,2,7,"No",2010,"Complete"
"Toy Story 3",2010,2,5,"No",2010,"Complete"
"Alice In Wonderland",2010,2,3,"No",2010,"Complete"
"Black Swan",2010,1,5,"No",2010,"Complete"
"In A Better World",2010,1,1,"No",2010,"Complete"
"The Lost Thing",2010,1,1,"No",2010,"Complete"
"God Of Love",2010,1,1,"No",2010,"Complete"
"The Wolfman",2010,1,1,"No",2010,"Complete"
"Strangers No More",2010,1,1,"No",2010,"Complete"
"Inside Job",2010,1,1,"No",2010,"Complete"
"The Artist",2011,5,10,"Yes",2011,"Complete"
"Hugo",2011,5,11,"No",2011,"Complete"
"The Iron Lady",2011,2,2,"No",2011,"Complete"
"The Descendants",2011,1,5,"No",2011,"Complete"
"The Girl With The Dragon Tattoo",2011,1,5,"No",2011,"Complete"
"Midnight In Paris",2011,1,4,"No",2011,"Complete"
"The Help",2011,1,4,"No",2011,"Complete"
"A Separation",2011,1,2,"No",2011,"Complete"
"The Fantastic Flying Books Of Mr. Morris Lessmore",2011,1,1,"No",2011,"Complete"
"The Shore",2011,1,1,"No",2011,"Complete"
"Undefeated",2011,1,1,"No",2011,"Complete"
"The Muppets",2011,1,1,"No",2011,"Complete"
"Saving Face",2011,1,1,"No",2011,"Complete"
"Beginners",2011,1,1,"No",2011,"Complete"
"Rango",2011,1,1,"No",2011,"Complete"
"Argo",2012,3,7,"Yes",2012,"Complete"
"Life Of Pi",2012,4,11,"No",2012,"Complete"
"Les Misérables",2012,3,8,"No",2012,"Complete"
"Lincoln",2012,2,12,"No",2012,"Complete"
"Django Unchained",2012,2,5,"No",2012,"Complete"
"Skyfall",2012,2,5,"No",2012,"Complete"
"Silver Linings Playbook",2012,1,8,"No",2012,"Complete"
"Zero Dark Thirty",2012,1,5,"No",2012,"Complete"
"Amour",2012,1,5,"No",2012,"Complete"
"Anna Karenina",2012,1,4,"No",2012,"Complete"
"Paperman",2012,1,1,"No",2012,"Complete"
"Brave",2012,1,1,"No",2012,"Complete"
"Searching For Sugar Man",2012,1,1,"No",2012,"Complete"
"Inocente",2012,1,1,"No",2012,"Complete"
"Curfew",2012,1,1,"No",2012,"Complete"
"12 Years A Slave",2013,3,9,"Yes",2013,"Complete"
"Gravity",2013,7,10,"No",2013,"Complete"
"Dallas Buyers Club",2013,3,6,"No",2013,"Complete"
"Frozen",2013,2,2,"No",2013,"Complete"
"The Great Gatsby",2013,2,2,"No",2013,"Complete"
"Her",2013,1,5,"No",2013,"Complete"
"Blue Jasmine",2013,1,3,"No",2013,"Complete"
"Mr Hublot",2013,1,1,"No",2013,"Complete"
"The Lady In Number 6: Music Saved My Life",2013,1,1,"No",2013,"Complete"
"Helium",2013,1,1,"No",2013,"Complete"
"The Great Beauty",2013,1,1,"No",2013,"Complete"
"20 Feet From Stardom",2013,1,1,"No",2013,"Complete"
"Birdman",2014,4,9,"Yes",2014,"Complete"
"The Grand Budapest Hotel",2014,4,9,"No",2014,"Complete"
"Whiplash",2014,3,5,"No",2014,"Complete"
"The Imitation Game",2014,1,8,"No",2014,"Complete"
"American Sniper",2014,1,6,"No",2014,"Complete"
"Boyhood",2014,1,6,"No",2014,"Complete"
"Interstellar",2014,1,5,"No",2014,"Complete"
"The Theory Of Everything",2014,1,5,"No",2014,"Complete"
"Ida",2014,1,2,"No",2014,"Complete"
"Selma",2014,1,2,"No",2014,"Complete"
"Citizenfour",2014,1,1,"No",2014,"Complete"
"Big Hero 6",2014,1,1,"No",2014,"Complete"
"Crisis Hotline: Veterans Press 1",2014,1,1,"No",2014,"Complete"
"The Phone Call",2014,1,1,"No",2014,"Complete"
"Still Alice",2014,1,1,"No",2014,"Complete"
"Feast",2014,1,1,"No",2014,"Complete"
"Spotlight",2015,2,6,"Yes",2015,"Complete"
"Mad Max: Fury Road",2015,6,10,"No",2015,"Complete"
"The Revenant",2015,3,12,"No",2015,"Complete"
"Bridge Of Spies",2015,1,6,"No",2015,"Complete"
"The Big Short",2015,1,5,"No",2015,"Complete"
"The Danish Girl",2015,1,4,"No",2015,"Complete"
"Room",2015,1,4,"No",2015,"Complete"
"Ex Machina",2015,1,2,"No",2015,"Complete"
"The Hateful Eight",2015,1,2,"No",2015,"Complete"
"Inside Out",2015,1,2,"No",2015,"Complete"
"Amy",2015,1,1,"No",2015,"Complete"
"Bear Story",2015,1,1,"No",2015,"Complete"
"A Girl In The River: The Price Of Forgiveness",2015,1,1,"No",2015,"Complete"
"Son Of Saul",2015,1,1,"No",2015,"Complete"
"Spectre",2015,1,1,"No",2015,"Complete"
"Stutterer",2015,1,1,"No",2015,"Complete"
